Timestamp (s), Slip Angle (deg)
38.166667, -10.267789
38.200000, -8.995723
38.233333, -8.716998
38.266667, -9.970409
38.300000, -9.806179
38.333333, -7.474381
38.366667, -8.758303
38.400000, -10.370289
38.433333, -9.127279
38.466667, -11.039597
38.500000, -11.465726
38.533333, -10.135336
38.566667, -11.601413
38.600000, -11.452803
38.633333, -9.706586
38.666667, -10.953110
38.700000, -6.968303
38.733333, -7.641197
38.766667, -6.029481
38.800000, -5.778518
38.833333, -7.798269
38.866667, -4.913901
38.900000, -6.632095
38.933333, -4.087127
38.966667, -4.773662
39.000000, -4.095621
39.033333, -1.313591
39.066667, -0.476318
39.100000, 0.285166
39.133333, -1.147051
39.166667, -2.910924
39.200000, 3.098270
39.233333, -0.192606
39.266667, 15.807734
39.300000, 6.343439
39.333333, 11.802568
39.366667, 10.503227
39.400000, 4.318634
39.433333, 5.757728
39.466667, 7.902881
39.500000, 3.111896
39.533333, 3.802287
39.566667, 23.535377
39.600000, 24.395974
39.633333, 25.175662
39.666667, 24.821761
39.700000, 25.402089
39.733333, 22.103778
39.766667, 15.553286
39.800000, 19.145529
39.833333, 19.431701
39.866667, 18.787823
39.900000, 18.952751
39.933333, 22.096637
39.966667, 25.625311
40.000000, 20.939078
40.033333, 21.774021
40.066667, 27.083950
40.100000, 25.326725
40.133333, 19.009251
40.166667, 21.657821
40.200000, 22.904970
40.233333, 26.378576
40.266667, 23.201040
40.300000, 24.283052
40.333333, 23.737098
40.366667, 19.780884
40.400000, 25.454218
40.433333, 23.318321
40.466667, 22.438411
40.500000, 25.647186
40.533333, 26.184449
40.566667, 18.196908
40.600000, 22.901308
40.633333, 19.385528
40.666667, 18.280990
40.700000, 26.176666
40.733333, 23.138573
40.766667, 18.325407
40.800000, 18.281510
40.833333, 15.458946
40.866667, 18.843949
40.900000, 25.684500
40.933333, 21.961425
40.966667, 22.742420
41.000000, 14.206464
41.033333, 17.775036
41.066667, 27.488773
41.100000, 25.796099
41.133333, 29.171730
41.166667, 23.264093
41.200000, 24.443497
41.233333, 19.756577
41.266667, 22.500247
41.300000, 26.646235
41.333333, 21.716637
41.366667, 21.132228
41.400000, 22.184963
41.433333, 22.630596
41.466667, 26.522916
41.500000, 18.134494
41.533333, 22.480700
41.566667, 21.536083
41.600000, 23.457384
41.633333, 28.372112
41.666667, 16.377468
41.700000, 21.903215
41.733333, 26.133797
41.766667, 26.280835
41.800000, 21.752713
41.833333, 26.114816
41.866667, 26.050808
41.900000, 27.251614
41.933333, 26.719220
41.966667, 25.209649
42.000000, 22.010928
42.033333, 28.527996
